Region,Year,Month,Detached,Condos,Town House,Dollar Volume
City of Toronto,2018,January,482776872,488407516,46621388,1017805776
City of Toronto,2018,February,671893817,651253933,51781052,1374928802
City of Toronto,2018,March,913495629,928359416,76025601,1917880646
City of Toronto,2018,April,1109515236,946305789,104704016,2160525041
City of Toronto,2018,May,1235371168,1050568697,104550877,2390490742
City of Toronto,2018,June,1198669894,964608964,75371834,2238650692
City of Toronto,2018,July,907670102,824304462,67875001,1799849565
City of Toronto,2018,August,770205927,812473358,45103175,1627782460
City of Toronto,2018,September,892671260,789175870,69055826,1750902956
City of Toronto,2018,October,1156535575,916189791,97220036,2169945402
City of Toronto,2018,November,917474431,816078251,71622500,1805175182
City of Toronto,2018,December,389603355,504035380,41324150,934962885
City of Toronto,2019,January,401553757,496812869,49774899,948141525
City of Toronto,2019,February,608619697,651687622,48367829,1308675148
City of Toronto,2019,March,850558483,814754280,87683957,1752996720
City of Toronto,2019,April,1331360492,1024586250,108013950,2463960692
City of Toronto,2019,May,1634291923,1117987187,112445649,2864724759
City of Toronto,2019,June,1325976009,952999816,122103963,2401079788
City of Toronto,2019,July,1062842927,1015358003,84578299,2162779229
City of Toronto,2019,August,833836549,873222229,63417673,1770476451
City of Toronto,2019,September,1236806436,923385254,98783734,2258975424
City of Toronto,2019,October,1367997857,1043643775,99230416,2510872048
City of Toronto,2019,November,1071874186,902681822,99147699,2073703707
City of Toronto,2019,December,633961065,580109554,42088300,1256158919
City of Toronto,2020,January,557528198,623489175,51308689,1232326062
City of Toronto,2020,Febuary,1063477436,964770624,56299050,2084547110
City of Toronto,2020,March,1221033150,999269652,90653970,2310956772
City of Toronto,2020,April,391165588,295128803,35238710,721533101
City of Toronto,2020,May,614421810,86584253,43734416,744740479
City of Toronto,2020,June,1362250594,865462455,132473996,2360187045
City of Toronto,2020,July,1698185157,1153585997,152334684,3004105838
City of Toronto,2020,August,1654104547,1033995120,129238698,2817338365
City of Toronto,2020,September,1726548815,1062910628,155489841,2944949284
City of Toronto,2020,October,1806212931,960814944,133607543,2900635418
City of Toronto,2020,November,1378252093,880285646,120660438,2379198177
City of Toronto,2020,December,969573130,970659303,94581646,2034814079
City of Toronto,2021,January,825490838,1064180221,71302124,1960973183
City of Toronto,2021,February,1540926850,1466706818,111801732,3119435400
City of Toronto,2021,March,2538251179,1850280829,223016989,4611548997
City of Toronto,2021,April,2247077654,1655691451,211698300,4114467405
City of Toronto,2021,May,2153921884,1348632169,213435265,3715989318
City of Toronto,2021,June,1844371338,1363903278,157006874,3365281490
